day,nominal,S_2_RCP_8.5,S5_4.0
12216,-0.093833333,7.406833333,7.406833333
12217,-0.016833333,7.726416667,7.726416667
12218,2.185583333,7.581,7.581
12219,3.2425,5.751833333,5.751833333
12220,2.495333333,4.063916667,4.063916667
12221,3.796666667,5.431833333,5.431833333
12222,3.88075,5.26675,5.26675
12223,4.939458333,6.325458333,6.325458333
12224,7.392416667,8.778416667,8.778416667
12225,7.974375,9.360375,9.360375
12226,6.577,7.963,7.963
12227,5.398291667,6.949291667,6.949291667
12228,6.439875,7.990875,7.990875
12229,10.579,12.13,12.13
12230,10.093,11.644,11.644
12231,7.116458333,8.667458333,8.667458333
12232,8.05075,9.60175,9.60175
12233,7.45225,9.00325,9.00325
12234,8.048041667,9.599041667,9.599041667
12235,5.842083333,7.393083333,7.393083333
12236,6.045333333,7.596333333,7.596333333
12237,5.97975,7.53075,7.53075
12238,7.798291667,9.349291667,9.349291667
12239,10.27725,11.82825,11.82825
12240,10.25454167,11.80554167,11.80554167
12241,6.430958333,7.981958333,7.981958333
12242,4.816041667,6.367041667,6.367041667
12243,8.233166667,9.784166667,9.784166667
12244,10.58045833,12.13145833,12.13145833
12245,10.89429167,12.44529167,12.44529167
12246,7.608875,9.159875,9.159875
12247,6.4015,7.9525,7.9525
12248,5.275041667,6.826041667,6.826041667
12249,6.316416667,7.867416667,7.867416667
12250,6.867125,8.418125,8.418125
12251,6.779083333,8.330083333,8.330083333
12252,7.6785,9.2295,9.2295
12253,8.547916667,10.09891667,10.09891667
12254,7.383583333,8.934583333,8.934583333
12255,7.832083333,9.383083333,9.383083333
12256,7.471791667,9.022791667,9.022791667
12257,7.766958333,9.317958333,9.317958333
12258,8.352833333,10.23383333,10.23383333
12259,8.583083333,10.46408333,10.46408333
12260,10.15120833,12.03220833,12.03220833
12261,9.288166667,11.16916667,11.16916667
12262,8.063416667,9.944416667,9.944416667
12263,8.917541667,10.79854167,10.79854167
12264,8.766458333,10.64745833,10.64745833
12265,7.353625,9.234625,9.234625
12266,7.1515,9.0325,9.0325
12267,3.904916667,5.785916667,5.785916667
12268,2.632333333,4.513333333,4.513333333
12269,3.668041667,5.549041667,5.549041667
12270,2.497666667,4.378666667,4.378666667
12271,2.637208333,4.518208333,4.518208333
12272,5.762416667,7.643416667,7.643416667
12273,6.94725,8.82825,8.82825
12274,7.76125,9.64225,9.64225
12275,7.656083333,9.537083333,9.537083333
12276,9.747782609,11.62878261,11.62878261
12277,8.21925,10.10025,10.10025
12278,7.728666667,9.609666667,9.609666667
12279,7.7895,9.6705,9.6705
12280,6.408416667,8.289416667,8.289416667
12281,4.663958333,6.544958333,6.544958333
12282,5.953916667,7.834916667,7.834916667
12283,7.314375,9.195375,9.195375
12284,7.270954545,9.151954545,9.151954545
12285,6.899625,8.780625,8.780625
12286,5.871416667,7.752416667,7.752416667
12287,4.491625,6.372625,6.372625
12288,4.278333333,6.159333333,6.159333333
12289,2.797833333,5.272833333,5.272833333
12290,2.949541667,5.424541667,5.424541667
12291,3.066625,5.541625,5.541625
12292,5.397375,7.872375,7.872375
12293,4.282291667,6.757291667,6.757291667
12294,3.663083333,6.138083333,6.138083333
12295,3.29525,5.77025,5.77025
12296,3.718166667,6.193166667,6.193166667
12297,3.358291667,5.833291667,5.833291667
12298,1.593583333,4.068583333,4.068583333
12299,1.921791667,4.396791667,4.396791667
12300,1.801375,4.276375,4.276375
12301,3.536666667,6.011666667,6.011666667
12302,3.499125,5.974125,5.974125
12303,2.04975,4.52475,4.52475
12304,0.071166667,2.546166667,2.546166667
12305,0.573375,3.048375,3.048375
12306,2.759916667,5.234916667,5.234916667
12307,1.122791667,3.597791667,3.597791667
12308,1.519541667,3.994541667,3.994541667
12309,1.714041667,4.189041667,4.189041667
12310,0.358125,2.833125,2.833125
12311,-0.122,2.353,2.353
12312,-0.12175,2.35325,2.35325
12313,-0.359,2.116,2.116
12314,-1.692666667,0.782333333,0.782333333
12315,-0.736041667,1.738958333,1.738958333
12316,-0.334458333,-0.334458333,-0.334458333
12317,-0.108958333,-0.108958333,-0.108958333
12318,0.35025,0.35025,0.35025
12319,0.115291667,0.115291667,0.115291667
12320,-0.006541667,-0.006541667,-0.006541667
12321,-0.01975,-0.01975,-0.01975
12322,-0.020583333,-0.020583333,-0.020583333
12323,-0.049125,-0.049125,-0.049125
12324,-0.102833333,-0.102833333,-0.102833333
12325,-0.163666667,-0.163666667,-0.163666667
12326,-0.26325,-0.26325,-0.26325
12327,-0.3055,-0.3055,-0.3055
12328,-0.296041667,-0.296041667,-0.296041667
12329,-0.35275,-0.35275,-0.35275
12330,-0.46575,-0.46575,-0.46575
12331,-0.585208333,-0.585208333,-0.585208333
12332,-0.601875,-0.601875,-0.601875
12333,-0.874,-0.874,-0.874
12334,-1.024125,-1.024125,-1.024125
12335,-0.715333333,-0.715333333,-0.715333333
12336,-0.915208333,-0.915208333,-0.915208333
12337,-1.041541667,-1.041541667,-1.041541667
12338,-1.025916667,-1.025916667,-1.025916667
12339,-0.720333333,-0.720333333,-0.720333333
12340,-0.603541667,-0.603541667,-0.603541667
12341,-0.547041667,-0.547041667,-0.547041667
12342,-0.629625,-0.629625,-0.629625
12343,-0.632708333,-0.632708333,-0.632708333
12344,-0.635291667,-0.635291667,-0.635291667
12345,-0.592875,-0.592875,-0.592875
12346,-0.514,-0.514,-0.514
12347,-0.466375,-0.466375,-0.466375
12348,-0.431208333,-0.431208333,-0.431208333
12349,-0.403041667,-0.403041667,-0.403041667
12350,-0.433333333,-0.433333333,-0.433333333
12351,-0.498041667,-0.498041667,-0.498041667
12352,-0.6785,-0.6785,-0.6785
12353,-0.839375,-0.839375,-0.839375
